Ticker,Date/Time,Open,High,Low,Close,Volume
CGV,1/31/2018,1.90,2.30,1.90,2.00,59952.00
CGV,2/26/2018,2.10,2.30,1.80,2.30,17428.00
CGV,3/29/2018,2.30,2.50,2.00,2.50,40300.00
CGV,4/26/2018,2.30,2.60,2.10,2.10,32466.00
CGV,5/31/2018,2.20,2.30,1.80,2.20,20977.00
CGV,6/26/2018,2.10,2.30,1.90,2.20,5341.00
CGV,7/31/2018,2.00,2.30,2.00,1.90,15900.00
CGV,8/31/2018,2.00,2.30,1.80,2.10,20600.00
CGV,9/28/2018,2.10,2.40,2.00,2.30,47310.00
CGV,10/31/2018,2.50,5.10,2.20,3.20,331735.00
CGV,11/30/2018,3.30,3.90,2.30,2.90,27713.00
CGV,12/11/2018,3.60,4.00,3.10,3.90,402.00
CGP,10/30/2015,5.50,7.70,4.30,4.30,29900.00
CGP,11/30/2015,4.30,5.50,4.00,4.70,46360.00
CGP,12/31/2015,4.20,5.40,4.00,4.90,22680.00
CGP,1/29/2016,4.90,5.00,4.50,4.80,11200.00
CGP,2/29/2016,4.80,5.90,4.80,5.40,13700.00
CGP,3/31/2016,5.60,5.60,4.70,4.90,43254.00
CGP,4/28/2016,5.60,6.30,4.80,5.70,9826.00
CGP,5/31/2016,5.20,5.60,4.70,5.30,14673.00
CGP,6/30/2016,5.30,5.70,4.70,5.20,49874.00
CGP,7/29/2016,4.70,6.90,4.70,5.60,276841.00
CGP,8/31/2016,6.40,11.10,6.40,9.00,415446.00
CGP,9/30/2016,9.00,9.80,6.80,7.90,154449.00
CGP,10/31/2016,8.00,9.20,6.90,9.00,138344.00
CGP,11/30/2016,10.40,10.50,8.70,9.30,81306.00
CGP,12/30/2016,8.60,11.90,8.30,8.40,66610.00
CGP,1/25/2017,8.30,9.30,7.50,8.00,18639.00
CGP,2/28/2017,8.90,9.50,7.10,7.60,44900.00
CGP,3/31/2017,7.60,8.40,7.40,7.70,105054.00
CGP,4/28/2017,8.20,8.20,7.30,7.30,126954.00
CGP,5/31/2017,7.40,9.30,6.80,9.10,232456.00
CGP,6/30/2017,9.10,9.90,7.10,7.20,104087.00
CGP,7/28/2017,7.10,8.00,7.10,8.00,37900.00
CGP,8/25/2017,8.00,8.00,7.80,8.00,126847.00
CGP,9/29/2017,8.00,9.00,7.00,8.00,113014.00
CGP,10/27/2017,7.60,8.10,6.60,7.90,94056.00
CGP,11/24/2017,8.00,9.00,7.90,8.20,82100.00
CGP,12/29/2017,8.50,9.40,6.40,8.20,95645.00
CGP,1/26/2018,7.20,8.90,7.20,7.40,74348.00
CGP,2/23/2018,8.00,9.00,8.00,8.80,215415.00
CGP,3/30/2018,8.50,9.70,8.50,9.50,62700.00
CGP,4/27/2018,9.60,10.20,9.20,9.20,77038.00
CGP,5/25/2018,9.20,10.50,8.70,9.00,71025.00
CGP,6/29/2018,8.80,9.20,6.60,9.00,127055.00
CGP,7/27/2018,8.60,9.00,7.20,8.20,91086.00
CGP,8/31/2018,8.20,9.00,7.70,9.00,158514.00
CGP,9/28/2018,9.20,9.50,7.90,9.50,158484.00
CGP,10/26/2018,9.20,9.50,6.80,9.00,101910.00
CGP,11/30/2018,9.40,10.60,8.50,9.20,199370.00
CGP,12/21/2018,9.40,10.00,9.30,10.00,6500.00
CH5,6/29/2018,17.10,20.00,15.00,15.00,5252.00
CH5,7/10/2018,12.80,12.80,11.00,11.00,3500.00
CH5,8/31/2018,12.60,12.60,12.60,12.60,2000.00
CH5,10/29/2018,16.00,16.00,13.60,15.60,1472.00
CFC,2/28/2013,3.61,3.61,3.61,3.61,100.00
CFC,4/30/2013,4.05,4.05,4.05,4.05,100.00
CFC,6/28/2013,5.64,9.69,5.11,9.42,3800.00
CFC,7/30/2013,9.42,10.57,8.72,10.57,11300.00
CFC,8/27/2013,9.51,9.51,7.57,9.07,2100.00
CFC,9/30/2013,9.95,9.95,8.63,9.42,2500.00
CFC,10/15/2013,8.54,9.51,6.96,6.96,3500.00
CFC,11/27/2013,6.34,9.69,5.72,5.72,400.00
CFC,1/31/2014,5.11,5.11,5.11,5.11,100.00
CFC,3/31/2014,5.37,5.37,5.37,5.37,100.00
CFC,4/14/2014,5.90,5.90,5.37,5.37,300.00
CFC,5/26/2014,5.90,7.05,5.72,5.72,600.00
CFC,6/24/2014,5.28,6.96,5.28,5.90,800.00
CFC,7/31/2014,6.43,8.45,5.20,5.64,2000.00
CFC,8/27/2014,5.11,6.34,5.11,5.37,1500.00
CFC,9/16/2014,4.93,4.93,4.58,4.58,400.00
CFC,10/28/2014,6.34,6.34,5.72,5.72,200.00
CFC,11/30/2014,5.20,5.20,5.20,5.20,200.00
CFC,1/27/2015,7.04,7.05,5.28,5.28,500.00
CFC,3/31/2015,7.40,10.66,6.69,10.66,2300.00
CFC,4/27/2015,11.01,11.01,7.59,7.88,49100.00
CFC,5/28/2015,8.56,11.58,8.56,9.83,28800.00
CFC,6/29/2015,11.19,13.43,9.15,12.26,43650.00
CFC,7/29/2015,12.65,12.65,7.40,7.40,1500.00
CFC,8/27/2015,8.47,11.87,8.47,10.61,10900.00
CFC,9/23/2015,9.05,11.19,9.05,9.44,8600.00
CFC,10/30/2015,8.27,10.12,8.27,8.66,1300.00
CFC,11/30/2015,7.40,11.39,6.42,11.39,3900.00
CFC,12/30/2015,10.12,11.19,6.81,6.81,7900.00
CFC,1/28/2016,5.94,9.73,5.16,9.73,1800.00
CFC,2/26/2016,7.69,8.76,5.84,8.56,2400.00
CFC,3/31/2016,7.30,9.73,5.84,9.54,15250.00
CFC,4/12/2016,9.73,10.41,9.73,10.12,4400.00
CFC,5/30/2016,10.12,10.22,10.02,10.22,2500.00
CFC,6/29/2016,10.12,10.12,7.69,8.76,3350.00
CFC,7/4/2016,9.25,9.73,9.25,9.73,1400.00
CFC,8/16/2016,7.69,8.76,7.69,8.76,1400.00
CFC,9/30/2016,8.76,8.76,8.76,8.76,500.00
CFC,10/24/2016,9.05,9.83,8.76,9.83,2600.00
CFC,11/10/2016,10.02,10.02,8.76,8.76,10100.00
CFC,12/16/2016,10.02,10.02,8.76,8.76,11700.00
CFC,1/16/2017,7.49,7.49,5.55,5.55,1200.00
CFC,2/23/2017,6.33,7.20,6.23,6.23,500.00
CFC,3/28/2017,5.35,6.13,5.35,6.13,500.00
CFC,4/19/2017,7.01,7.01,6.03,6.91,1900.00
CFC,5/31/2017,7.88,9.73,7.79,9.25,125600.00
CFC,6/27/2017,9.25,9.54,7.11,7.11,77500.00
CFC,7/31/2017,8.08,8.08,8.08,8.08,100.00
CFC,8/29/2017,7.30,9.54,7.30,9.54,300.00
CFC,9/22/2017,10.90,14.02,9.54,14.02,300.00
CFC,11/30/2017,8.47,19.37,8.47,19.37,200.00
CFC,12/14/2017,15.96,20.80,15.96,20.80,300.00
CFC,1/25/2018,17.70,17.70,15.10,15.10,400.00
CFC,2/8/2018,12.90,12.90,8.00,8.00,700.00
CFC,3/29/2018,9.20,10.90,5.20,10.90,9300.00
CFC,4/30/2018,9.30,9.30,9.30,9.30,100.00
CFC,5/31/2018,9.20,9.40,9.20,9.30,2500.00
CFC,6/28/2018,8.00,8.00,4.20,4.80,7355.00
CFC,7/31/2018,5.50,6.30,5.00,5.70,1600.00
CFC,8/30/2018,6.40,16.00,6.40,16.00,1010.00
CFC,9/7/2018,16.00,16.00,13.60,13.60,1400.00
CFC,10/31/2018,18.90,18.90,18.90,18.90,100.00
CHC,6/30/2017,7.90,7.90,7.90,7.90,100.00
CHS,1/25/2017,15.91,18.29,11.98,13.53,69300.00
CHS,2/27/2017,13.53,13.53,11.48,12.22,15400.00
CHS,3/31/2017,13.95,13.95,8.45,11.32,40600.00
CHS,4/28/2017,12.88,12.88,9.35,11.07,46200.00
CHS,5/22/2017,12.63,13.95,10.09,13.95,15800.00
CHS,6/30/2017,11.89,13.53,9.76,10.50,30680.00
CHS,7/24/2017,10.75,11.65,9.02,11.65,14800.00
CHS,8/28/2017,10.25,10.25,7.14,8.45,7900.00
CHS,9/28/2017,8.20,8.53,7.05,8.37,3700.00
CHS,10/31/2017,8.61,9.17,7.46,9.17,6800.00
CHS,11/30/2017,8.82,9.17,8.56,8.73,5300.00
CHS,12/29/2017,8.73,9.79,8.29,9.79,6000.00
CHS,1/31/2018,9.16,10.06,7.90,9.88,33300.00
CHS,2/28/2018,9.25,11.40,7.81,8.98,8220.00
CHS,3/27/2018,9.43,11.23,8.44,8.71,7900.00
CHS,4/27/2018,8.62,11.14,8.35,8.35,23300.00
CHS,5/31/2018,9.16,9.16,5.39,7.36,10478.00
CHS,6/29/2018,8.08,8.08,6.20,7.00,1801.00
CHS,7/31/2018,6.29,8.89,5.66,7.09,4509.00
CHS,8/31/2018,6.74,8.26,6.38,7.27,103600.00
CHS,9/27/2018,7.27,7.36,6.29,6.47,71000.00
CHS,10/29/2018,7.09,7.54,6.29,7.36,10100.00
CHS,11/29/2018,7.09,8.40,6.82,7.90,55700.00
CHS,12/21/2018,8.90,8.90,7.40,8.60,2300.00
CI5,12/31/2013,3.80,3.80,3.80,3.80,5800.00
CI5,2/28/2014,3.84,3.84,3.84,3.84,20000.00
CI5,4/14/2014,5.36,5.36,4.94,4.94,2600.00
CI5,5/29/2014,5.44,5969.14,5.44,6.39,2500.00
CI5,7/18/2014,7.87,10.38,7.87,10.38,1000.00
CI5,8/31/2014,11.37,11.37,11.37,11.37,500.00
CI5,9/19/2014,12.47,16.54,12.47,16.54,400.00
CI5,10/30/2014,14.90,14.91,5.59,5.59,1200.00
CI5,11/27/2014,5.09,6.12,4.94,5.44,3000.00
CI5,12/31/2014,5.97,6.54,5.97,6.54,200.00
CI5,2/10/2015,7.07,7.07,6.08,6.08,2600.00
CI5,3/31/2015,6.08,6.08,6.08,6.08,2600.00
CI5,6/30/2015,8.52,8.52,6.95,6.95,5800.00
CI5,7/31/2015,8.04,8.04,8.04,8.04,100.00
CI5,11/17/2015,11.26,11.73,10.58,10.58,2200.00
CI5,12/30/2015,12.17,12.17,8.93,10.25,1000.00
CI5,1/11/2016,9.92,11.38,9.59,11.38,600.00
CI5,3/29/2016,12.24,12.24,8.93,8.93,7576.00
CI5,4/20/2016,10.25,11.77,10.25,11.77,312.00
CI5,5/24/2016,13.49,13.49,10.91,10.91,1000.00
CI5,6/30/2016,10.91,11.57,10.91,11.57,3100.00
CI5,7/29/2016,11.57,15.41,10.88,10.88,3400.00
CI5,8/25/2016,9.24,10.51,9.15,10.51,500.00
CI5,9/26/2016,12.05,15.04,12.05,14.95,400.00
CI5,10/28/2016,15.41,15.41,14.95,14.95,700.00
CI5,11/30/2016,12.78,13.59,12.78,13.59,200.00
CI5,12/5/2016,11.33,11.78,11.33,11.78,800.00
CI5,5/25/2017,12.69,12.69,12.24,12.24,7010.00
CI5,6/27/2017,12.69,12.69,11.33,11.33,5500.00
CI5,7/28/2017,9.79,11.60,9.79,11.60,401.00
CI5,8/15/2017,11.60,16.50,11.60,16.50,337.00
CI5,10/30/2017,10.10,13.00,10.10,11.90,3069.00
